Entity,Code,Year,CO2 Emissions (Per Capita),Real GDP per Capita
United Kingdom,GBR,1750,1.0067133,1897.72
United Kingdom,GBR,1760,1.0197706,2034.6899
United Kingdom,GBR,1770,1.1834642,2042.65
United Kingdom,GBR,1780,1.3767486,2101.8401
United Kingdom,GBR,1790,1.664795,2143.6201
United Kingdom,GBR,1800,2.4775457,2331.73
United Kingdom,GBR,1801,2.4581363,2338.0801
United Kingdom,GBR,1802,2.4445295,2348.02
United Kingdom,GBR,1803,2.7193713,2271.52
United Kingdom,GBR,1804,2.702702,2239.8501
United Kingdom,GBR,1805,2.7736113,2336.9299
United Kingdom,GBR,1806,2.8998947,2291.8201
United Kingdom,GBR,1807,2.8695207,2405.8101
United Kingdom,GBR,1808,2.8397775,2261.0901
United Kingdom,GBR,1809,2.8103423,2301.1299
United Kingdom,GBR,1810,2.7009504,2420.1101
United Kingdom,GBR,1811,2.7727084,2363.5601
United Kingdom,GBR,1812,2.7423942,2237.1899
United Kingdom,GBR,1813,2.6203845,2322.78
United Kingdom,GBR,1814,2.521406,2241.1799
United Kingdom,GBR,1815,2.4331086,2436.8
United Kingdom,GBR,1816,2.4458764,2271.3
United Kingdom,GBR,1817,2.3367283,2271.8301
United Kingdom,GBR,1818,2.2117085,2236.72
United Kingdom,GBR,1819,2.1248052,2166.74
United Kingdom,GBR,1820,2.0538151,2312.04
United Kingdom,GBR,1821,2.0096407,2312.3701
United Kingdom,GBR,1822,2.0428913,2317.28
United Kingdom,GBR,1823,2.1234748,2347.71
United Kingdom,GBR,1824,2.195287,2439.7
United Kingdom,GBR,1825,2.1898577,2455.26
United Kingdom,GBR,1826,2.1861284,2292.0601
United Kingdom,GBR,1827,2.2480597,2438.0601
United Kingdom,GBR,1828,2.2347286,2406.6101
United Kingdom,GBR,1829,2.2388353,2393.5
United Kingdom,GBR,1830,2.815334,2467.7
United Kingdom,GBR,1831,2.6977081,2509.5901
United Kingdom,GBR,1832,2.6617248,2494.6399
United Kingdom,GBR,1833,2.6307502,2491.26
United Kingdom,GBR,1834,2.605666,2542.3201
United Kingdom,GBR,1835,2.5682752,2664.8
United Kingdom,GBR,1836,2.9776533,2699.9299
United Kingdom,GBR,1837,2.8441617,2646.5701
United Kingdom,GBR,1838,2.8930328,2745.99
United Kingdom,GBR,1839,2.9430082,2773.96
United Kingdom,GBR,1840,3.0426993,2749.8899
United Kingdom,GBR,1841,3.0602708,2643.4299
United Kingdom,GBR,1842,3.1817284,2597.53
United Kingdom,GBR,1843,3.3151028,2647.48
United Kingdom,GBR,1844,3.4724026,2818.3501
United Kingdom,GBR,1845,3.7084117,2912.6101
United Kingdom,GBR,1846,3.5434093,3043.46
United Kingdom,GBR,1847,3.8281,2972.96
United Kingdom,GBR,1848,4.0336947,3002.6599
United Kingdom,GBR,1849,4.270958,2990.5
United Kingdom,GBR,1850,4.498514,2913.6399
United Kingdom,GBR,1851,4.26117,3004.3899
United Kingdom,GBR,1852,4.2234073,3059.3799
United Kingdom,GBR,1853,4.174019,3135.8501
United Kingdom,GBR,1854,4.9986124,3232.5801
United Kingdom,GBR,1855,4.651625,3159.5901
United Kingdom,GBR,1856,4.9747477,3264.9299
United Kingdom,GBR,1857,4.855322,3261.4099
United Kingdom,GBR,1858,4.728981,3213.96
United Kingdom,GBR,1859,5.215414,3299.71
United Kingdom,GBR,1860,5.7975526,3347.1899
United Kingdom,GBR,1861,5.996855,3371.6799
United Kingdom,GBR,1862,5.7593393,3302.77
United Kingdom,GBR,1863,6.07309,3439.75
United Kingdom,GBR,1864,6.4790716,3445.8201
United Kingdom,GBR,1865,6.8079658,3564.3501
United Kingdom,GBR,1866,6.955592,3569.1299
United Kingdom,GBR,1867,7.080667,3543.3101
United Kingdom,GBR,1868,6.8866873,3639.0801
United Kingdom,GBR,1869,7.162293,3683.75
United Kingdom,GBR,1870,7.2496405,3927.1799
United Kingdom,GBR,1871,7.607867,4104.1299
United Kingdom,GBR,1872,7.938176,4065.4199
United Kingdom,GBR,1873,8.157938,4038.55
United Kingdom,GBR,1874,7.8494673,4152.9902
United Kingdom,GBR,1875,8.204209,4131.02
United Kingdom,GBR,1876,8.109264,4089.48
United Kingdom,GBR,1877,8.173879,4067.54
United Kingdom,GBR,1878,7.948812,4010.6399
United Kingdom,GBR,1879,7.9218984,3880.03
United Kingdom,GBR,1880,8.554357,4115.9902
United Kingdom,GBR,1881,8.9127865,4168.96
United Kingdom,GBR,1882,8.91293,4183.0898
United Kingdom,GBR,1883,9.199512,4273
United Kingdom,GBR,1884,8.885094,4178.8398
United Kingdom,GBR,1885,8.708424,4089.0901
United Kingdom,GBR,1886,8.559922,4057.8101
United Kingdom,GBR,1887,8.708795,4188.4102
United Kingdom,GBR,1888,8.981743,4283
United Kingdom,GBR,1889,9.223888,4375.5298
United Kingdom,GBR,1890,9.356449,4375.8701
United Kingdom,GBR,1891,9.468953,4460.6499
United Kingdom,GBR,1892,9.187926,4299.1899
United Kingdom,GBR,1893,8.152521,4212.0801
United Kingdom,GBR,1894,9.247609,4373.3398
United Kingdom,GBR,1895,9.247575,4465.9199
United Kingdom,GBR,1896,9.4217205,4602.2998
United Kingdom,GBR,1897,9.580751,4601.2598
United Kingdom,GBR,1898,9.512696,4791.23
United Kingdom,GBR,1899,10.098207,4921.6099
United Kingdom,GBR,1900,10.130563,4870.75
United Kingdom,GBR,1901,9.822414,4930.29
United Kingdom,GBR,1902,10.112165,4958.0801
United Kingdom,GBR,1903,10.101308,4859.2402
United Kingdom,GBR,1904,10.058713,4876.4902
United Kingdom,GBR,1905,10.100809,4990.8398
United Kingdom,GBR,1906,10.370096,5064.96
United Kingdom,GBR,1907,10.736753,5115.8198
United Kingdom,GBR,1908,10.38103,4888.0298
United Kingdom,GBR,1909,10.390703,4955.3501
United Kingdom,GBR,1910,10.398629,5067.0698
United Kingdom,GBR,1911,10.590891,5179.96
United Kingdom,GBR,1912,9.978557,5245.1699
United Kingdom,GBR,1913,10.86069,5441.6499
United Kingdom,GBR,1914,10.485616,5485.5601
