Entity,Code,Year,Annual CO2 emissions (per capita),GDP per capita,Population (historical estimates)
Afghanistan,AFG,2018,0.29487586,1934.555054,36686788
Albania,ALB,2018,1.7323643,11104.16602,2877019
Algeria,DZA,2018,4.1479607,14228.02539,41927008
Angola,AGO,2018,0.72839534,7771.441895,31273538
Argentina,ARG,2018,4.0663075,18556.38281,44413592
Armenia,ARM,2018,2.0538187,11454.4248,2836563
Australia,AUS,2018,16.6652,49830.80078,24979228
Austria,AUT,2018,7.528652,42988.07031,8840518
Azerbaijan,AZE,2018,3.4056375,16628.05469,10152524
Bahrain,BHR,2018,22.044058,39498.76563,1487346
Bangladesh,BGD,2018,0.5039817,4099.25293,163683952
Barbados,BRB,2018,4.6007786,11995.18652,279702
Belarus,BLR,2018,6.4044,18727.31836,9695573
Belgium,BEL,2018,8.723656,39756.20313,11448598
Benin,BEN,2018,0.6226188,2220.176514,11940688
Bolivia,BOL,2018,2.050414,6695.774414,11606906
Bosnia and Herzegovina,BIH,2018,6.4924054,10460.52051,3400132
Botswana,BWA,2018,3.0612,15842.12988,2451411
Brazil,BRA,2018,2.2701142,14033.56543,210166592
Bulgaria,BGR,2018,6.128069,18444.25977,7117424
Burkina Faso,BFA,2018,0.24262862,1589.624146,20392730
Burundi,BDI,2018,0.05949706,651.3588867,11493476
Cambodia,KHM,2018,0.89784485,3628.561035,16025242
Cameroon,CMR,2018,0.38417488,2888.045898,25076752
Canada,CAN,2018,15.778724,44868.74219,37035260
Cape Verde,CPV,2018,1.0198998,6831.21582,571209
Central African Republic,CAF,2018,0.043149922,623.4888916,5094795
Chad,TCD,2018,0.12860341,2046.363159,15604213
Chile,CHL,2018,4.5166917,22104.76563,18701452
China,CHN,2018,7.306542,13101.70605,1417069440
Colombia,COL,2018,1.6727245,13545.0498,49276968
Comoros,COM,2018,0.37757528,1724.420654,776322
Congo,COG,2018,1.2123058,5714.591797,5441061
Costa Rica,CRI,2018,1.6325939,14686.25391,5040738
Cote d'Ivoire,CIV,2018,0.40607384,3713.643555,25493990
Croatia,HRV,2018,4.2601137,22012.31445,4160488
Cuba,CUB,2018,1.997767,8325.630859,11328243
Cyprus,CYP,2018,6.024238,27184.41602,1218834
Czechia,CZE,2018,10.094166,30748.50781,10534598
Democratic Republic of Congo,COD,2018,0.028385177,859.3817139,87087352
Denmark,DNK,2018,6.021649,46312.34375,5766689
Djibouti,DJI,2018,0.36402908,3295.681396,1057204
Dominica,DMA,2018,2.2757764,9021.173828,70840
Dominican Republic,DOM,2018,2.3924725,15912.39941,10765532
Ecuador,ECU,2018,2.2476408,10638.8252,17015672
Egypt,EGY,2018,2.3511283,11957.21191,103740768
El Salvador,SLV,2018,1.0212243,8598.198242,6276340
Equatorial Guinea,GNQ,2018,4.000029,28528.95313,1502102
Estonia,EST,2018,13.565124,27408.66406,1322146
Eswatini,SWZ,2018,0.89040095,8068.211914,1160430
Ethiopia,ETH,2018,0.14224885,1838.490356,111129440
Finland,FIN,2018,8.303282,38896.69922,5515465
France,FRA,2018,5.0177007,38515.91797,64277812
Gabon,GAB,2018,2.7335813,17613.55664,2192013
Gambia,GMB,2018,0.24277644,1882.239868,2444916
Georgia,GEO,2018,2.6674635,11984.90527,3772323
Germany,DEU,2018,9.100585,46177.61719,82896696
Ghana,GHA,2018,0.55408466,4267.066895,30870648
Greece,GRC,2018,6.7506948,23450.76563,10633275
Guatemala,GTM,2018,1.1092327,7402.114746,16850176
Guinea,GIN,2018,0.29358995,1606.466553,12554871
Guinea-Bissau,GNB,2018,0.16179088,1501.413574,1924954
Haiti,HTI,2018,0.30614442,1729.043213,11012427
Honduras,HND,2018,1.0069852,5041.635254,9792854
Hong Kong,HKG,2018,5.6940813,50839.37109,7481563
Hungary,HUN,2018,5.059481,25622.8125,9776361
Iceland,ISL,2018,10.366745,43438.54297,352951
India,IND,2018,1.8995181,6806.498535,1369003264
Indonesia,IDN,2018,2.260322,11851.7373,267066848
Iran,IRN,2018,8.186843,17011.30469,85617560
Iraq,IRQ,2018,5.258127,12835.8125,40590700
Ireland,IRL,2018,8.069567,64684.30078,4834506
Israel,ISR,2018,7.125526,32954.76953,8456487
Italy,ITA,2018,5.828657,34364.16797,59877432
Jamaica,JAM,2018,2.8758495,7272.980469,2811842
Japan,JPN,2018,9.056306,38673.80859,126255872
Jordan,JOR,2018,2.3862228,11506.33789,10459864
Kazakhstan,KAZ,2018,17.899391,25307.55469,18538100
Kenya,KEN,2018,0.36372316,3377.470459,49953300
Kuwait,KWT,2018,22.478844,65520.73828,4317190
