County,Total_Votes,Biden_Votes,Biden_Percent
Appling,1779,8341,21.32837789
Atkinson,825,3155,26.14896989
Bacon,625,4668,13.38903171
Baker,652,1555,41.92926045
Baldwin,9140,18251,50.0794477
Banks,932,8801,10.58970572
Barrow,10453,37921,27.56520134
Bartow,12092,50467,23.96021162
Ben Hill,2392,6560,36.46341463
Berrien,1269,7743,16.38899651
Bibb,43468,70802,61.39374594
Bleckley,1311,5706,22.97581493
Brantley,699,7746,9.024012393
Brooks,2790,7100,39.29577465
Bryan,6739,21340,31.579194
Bulloch,11243,30084,37.372025
Burke,5209,10684,48.75514788
Butts,3274,11771,27.81411945
Calhoun,1260,2194,57.42935278
Camden,7967,23688,33.63306315
Candler,1269,4431,28.63913338
Carroll,16238,54474,29.80871608
Catoosa,6932,32593,21.26837051
Charlton,1103,4566,24.15681121
Chatham,78254,133420,58.65237596
Chattahoochee,667,1582,42.16182048
Chattooga,1854,10050,18.44776119
Cherokee,42794,144830,29.54774563
Clarke,36048,51333,70.22383262
Clay,790,1434,55.09065551
Clayton,95476,112344,84.98540198
Clinch,747,2864,26.08240223
Cobb,221846,393746,56.34241364
Coffee,4511,15214,29.65032207
Colquitt,4187,16083,26.03370018
Columbia,29236,80579,36.28240609
Cook,2059,7035,29.26794598
Coweta,24210,76799,31.52384797
Crawford,1615,6102,26.46673222
Crisp,2986,8039,37.14392337
Dade,1261,7434,16.96260425
Dawson,2486,16081,15.45923761
Decatur,4780,11627,41.11120667
DeKalb,308227,370804,83.12396846
Dodge,2171,8070,26.90210657
Dooly,1911,4105,46.55298417
Dougherty,24577,35311,69.6015406
Douglas,42809,69097,61.95493292
Early,2437,5187,46.98284172
Echols,167,1441,11.58917418
Effingham,7720,31570,24.45359519
Elbert,2879,9171,31.39243267
Emanuel,2884,9501,30.35469951
Evans,1324,4247,31.17494702
Fannin,2571,14850,17.31313131
Fayette,33065,71993,45.92807634
Floyd,12008,41648,28.83211679
Forsyth,42203,129305,32.63833572
Franklin,1593,10765,14.79795634
Fulton,381144,524659,72.64604248
Gilmer,2932,16525,17.74281392
Glascock,155,1566,9.897828863
Glynn,15879,41984,37.82155107
Gordon,4384,24033,18.24158449
Grady,3619,10707,33.80031755
Greene,4088,11247,36.34747044
Gwinnett,241827,413865,58.43137255
Habersham,3563,20432,17.43833203
Hall,25031,90523,27.65153607
Hancock,2985,4165,71.66866747
Haralson,1792,14248,12.57720382
Harris,5457,19991,27.29728378
Hart,3157,12727,24.80553155
Heard,824,5391,15.28473382
Henry,73276,122742,59.69920647
Houston,32232,74823,43.07766329
Irwin,1008,4168,24.18426104
Jackson,7642,37670,20.28670029
Jasper,1761,7644,23.03767661
Jeff Davis,1028,5771,17.81320395
Jefferson,4061,7642,53.14053913
Jenkins,1266,3455,36.64254703
Johnson,1222,4100,29.80487805
Jones,4888,14966,32.66069758
Lamar,2615,9039,28.93019139
Lanier,1019,3576,28.49552573
Laurens,8073,22729,35.51850059
Lee,4558,16714,27.27055163
Liberty,13099,21389,61.24175978
Lincoln,1435,4650,30.86021505
Long,2033,5656,35.94413013
Lowndes,20117,46355,43.39769173
Lumpkin,3126,15531,20.12748696
Macon,2857,4662,61.28271128
Madison,3411,14937,22.83591083
Marion,1311,3624,36.17549669
McDuffie,4168,10455,39.86609278
McIntosh,2612,6696,39.0083632
Meriwether,4287,10877,39.41344121
Miller,749,2835,26.41975309
Mitchell,3995,8963,44.57212987
Monroe,4384,15592,28.11698307
Montgomery,979,3966,24.68482098
Morgan,3355,11707,28.65806782
Murray,2302,15389,14.95873676
Muscogee,49529,80543,61.49386042
Newton,29794,54239,54.93095374
Oconee,8162,25168,32.43006993
Oglethorpe,2436,8131,29.95941459
Paulding,29704,85385,34.78831176
Peach,5920,12545,47.19011558
Pickens,2808,17116,16.40570227
Pierce,1100,9048,12.15738285
Pike,1505,10720,14.0391791
Polk,3658,17399,21.02419679
Pulaski,1217,4059,29.98275437
Putnam,3448,11855,29.08477436
Quitman,497,1106,44.93670886
Rabun,1984,9568,20.73578595
Randolph,1671,3074,54.35914118
Richmond,59124,87016,67.94612485
Rockdale,31244,44686,69.91899029
Schley,462,2275,20.30769231
Screven,2661,6628,40.14785757
Seminole,1254,3884,32.28630278
Spalding,11784,30116,39.12870235
Stephens,2385,11885,20.06731174
Stewart,1182,1990,59.39698492
Sumter,6318,12150,52
Talbot,2114,3522,60.02271437
Taliaferro,561,928,60.45258621
Tattnall,2061,8183,25.18636197
Taylor,1387,3839,36.12920031
Telfair,1487,4333,34.31802446
Terrell,2376,4416,53.80434783
Thomas,8708,21853,39.84807578
Tift,5322,16283,32.68439477
Toombs,2939,10914,26.92871541
Towns,1550,7979,19.42599323
Treutlen,952,3077,30.93922652
Troup,11578,30049,38.53040035
Turner,1410,3792,37.1835443
Twiggs,2044,4444,45.99459946
Union,2801,15560,18.00128535
Upson,4201,12905,32.55327392
Walker,5769,29354,19.65319888
Walton,12682,51095,24.82043253
Ware,4211,14192,29.671646
Warren,1469,2651,55.41305168
Washington,4730,9459,50.00528597
Wayne,2687,12778,21.02832994
Webster,639,1390,45.97122302
Wheeler,689,2285,30.15317287
White,2411,14816,16.27294816
Whitfield,10670,36746,29.03717411
Wilcox,862,3281,26.2724779
Wilkes,2160,5029,42.95088487
Wilkinson,2075,4770,43.50104822
Worth,2395,9285,25.79429187
Total:,2474507,4998482,49.50516977
