Country,2008_medals,2012_medals,population
China,100,92,1412360000
United States,112,104,331893745
Russia,60,66,143446060
Great Britain,51,65,67326569
Germany,41,44,83129285
Australia,46,35,25739256
South Korea,32,30,51744876
Japan,25,38,125681593
Italy,27,28,59066225
France,43,35,67499343
Netherlands,16,20,17533405
Ukraine,22,19,43814581
Kenya,16,13,54985702
Spain,19,20,47326687
Jamaica,11,12,2973462
Poland,11,11,37781024
Ethiopia,7,8,117876226
Romania,9,7,19115146
Cuba,30,15,11317498
Canada,20,18,38246108
Hungary,10,18,9709886
Norway,9,4,5408320
Brazil,17,17,213993441
Belarus,14,10,9340314
Czech Republic,7,11,10703446
Slovakia,6,4,5447247
New Zealand,9,13,5122600
Georgia,7,6,3708610
Kazakhstan,9,11,19002586
Denmark,7,9,5856733
North Korea,6,7,25887045
Thailand,6,4,69950844
Mongolia,4,5,3329282
Switzerland,7,4,8697723
Argentina,6,4,45808747
Mexico,4,8,130262220
Belgium,2,3,11587882
Slovenia,5,4,2107007
Azerbaijan,6,9,10145212
Indonesia,6,3,276361788
Bulgaria,5,3,6899125
Turkey,5,3,85042736
Chinese Taipei,4,2,23570000
Finland,4,3,5541696
Latvia,3,2,1883162
Dominican Republic,2,2,10953714
Estonia,2,2,1329254
Portugal,2,1,10299423
Trinidad and Tobago,2,4,1403374
India,3,6,1393409033
Iran,2,13,85028760
Cameroon,1,1,27224262
Tunisia,1,3,11935764
Sweden,5,8,10415811
Lithuania,5,5,2795321
Croatia,5,6,3899000
Colombia,3,9,51265841
Greece,3,2,10664568
Armenia,5,2,2968128
Uzbekistan,4,3,34915100
Ireland,3,6,5028230
Serbia,3,4,6844078
Algeria,2,1,44616626
Bahamas,2,1,396914
Morocco,2,1,37344787
Tajikistan,2,1,9749625
Malaysia,1,2,32776195
Singapore,1,2,5453566
South Africa,1,6,60041996
Vietnam,1,1,98168829
Egypt,2,4,104258327
Afghanistan,1,1,39835428
Venezuela,1,1,28704947
Zimbabwe,4,0,15092171
Panama,1,0,4381583
Nigeria,5,0,211400704
Austria,3,0,8956279
Kyrgyzstan,3,0,6694200
Chile,1,0,19212362
Ecuador,1,0,17888474
Iceland,1,0,372295
Samoa,1,0,200144
Sudan,1,0,44909351
Israel,1,0,9364000
Mauritius,1,0,1266060
Moldova,1,0,2573928
Togo,1,0,8478242
Bahrain,0,1,1748295
Grenada,0,1,113015
Uganda,0,1,47123533
Puerto Rico,0,2,3263584
Qatar,0,2,2930524
Botswana,0,1,2397240
Cyprus,0,1,1215588
Gabon,0,1,2278829
Guatemala,0,1,17109746
Montenegro,0,1,620173
Hong Kong,0,1,7413100
Kuwait,0,1,4328553
Saudi Arabia,0,1,35340680
