year,seat,candidate,party,candidatevotes
2018,AL01,BRADLEY BYRNE,REPUBLICAN,153228
2018,AL01,ROBERT KENNEDY JR,DEMOCRAT,89226
2018,AL01,WRITEIN,,163
2018,AL02,MARTHA ROBY,REPUBLICAN,138879
2018,AL02,TABITHA ISNER,DEMOCRAT,86931
2018,AL02,WRITEIN,,420
2018,AL03,MALLORY HAGAN,DEMOCRAT,83996
2018,AL03,MIKE ROGERS,REPUBLICAN,147770
2018,AL03,WRITEIN,,149
2018,AL04,LEE AUMAN,DEMOCRAT,46492
2018,AL04,ROBERT ADERHOLT,REPUBLICAN,184255
2018,AL04,WRITEIN,,222
2018,AL05,MO BROOKS,REPUBLICAN,159063
2018,AL05,PETER JOFFRION,DEMOCRAT,101388
2018,AL05,WRITEIN,,222
2018,AL06,DANNER KLINE,DEMOCRAT,85644
2018,AL06,GARY PALMER,REPUBLICAN,192542
2018,AL06,WRITEIN,,142
2018,AL07,TERRI SEWELL,DEMOCRAT,185010
2018,AL07,WRITEIN,,4153
2018,AK01,ALYSE S GALVIN,DEMOCRAT,131199
2018,AK01,DON YOUNG,REPUBLICAN,149779
2018,AK01,WRITEIN,,1188
2018,AZ01,TOM O'HALLERAN,DEMOCRAT,143240
2018,AZ01,WENDY ROGERS,REPUBLICAN,122784
2018,AZ01,WRITEIN,,65
2018,AZ02,ANN KIRKPATRICK,DEMOCRAT,161000
2018,AZ02,LEA MARQUEZ PETERSON,REPUBLICAN,133083
2018,AZ02,WRITEIN,,69
2018,AZ03,"NICOLAS ""NICK"" PIERSON",REPUBLICAN,64868
2018,AZ03,RAUL GRIJALVA,DEMOCRAT,114650
2018,AZ04,DAVID BRILL,DEMOCRAT,84521
2018,AZ04,HARYAKSHA GREGOR KNAUER,GREEN,3672
2018,AZ04,PAUL GOSAR,REPUBLICAN,188842
2018,AZ05,ANDY BIGGS,REPUBLICAN,186037
2018,AZ05,JOAN GREENE,DEMOCRAT,127027
2018,AZ06,ANITA MALIK,DEMOCRAT,140559
2018,AZ06,DAVID SCHWEIKERT,REPUBLICAN,173140
2018,AZ07,GARY SWING,GREEN,18706
2018,AZ07,RUBEN GALLEGO,DEMOCRAT,113044
2018,AZ07,WRITEIN,,301
2018,AZ08,DEBBIE LESKO,REPUBLICAN,168835
2018,AZ08,HIRAL TIPIRNENI,DEMOCRAT,135569
2018,AZ08,STEVEN HUMMEL,,13
2018,AZ09,GREG STANTON,DEMOCRAT,159583
2018,AZ09,STEPHEN L FERRARA,REPUBLICAN,101662
2018,AR01,CHINTAN DESAI,DEMOCRAT,57907
2018,AR01,ELVIS PRESLEY,LIBERTARIAN,4581
2018,AR01,RICK CRAWFORD,REPUBLICAN,138757
2018,AR02,CLARKE TUCKER,DEMOCRAT,116135
2018,AR02,FRENCH HILL,REPUBLICAN,132125
2018,AR02,JOE RYNE SWAFFORD,LIBERTARIAN,5193
2018,AR03,JOSH MAHONY,DEMOCRAT,74952
2018,AR03,MICHAEL J KALAGIAS,LIBERTARIAN,5899
2018,AR03,STEVE WOMACK,REPUBLICAN,148717
2018,AR03,WRITEIN,,140
2018,AR04,BRUCE WESTERMAN,REPUBLICAN,136740
2018,AR04,HAYDEN CATHERINE SHAMEL,DEMOCRAT,63984
2018,AR04,TOM CANADA,LIBERTARIAN,3952
2018,AR04,WRITEIN,,216
2018,CA01,AUDREY DENNEY,DEMOCRAT,131548
2018,CA01,DOUG LA MALFA,REPUBLICAN,160046
2018,CA02,DALE K MENSING,REPUBLICAN,72576
2018,CA02,JARED HUFFMAN,DEMOCRAT,243081
2018,CA03,CHARLIE SCHAUPP,REPUBLICAN,97376
2018,CA03,JOHN GARAMENDI,DEMOCRAT,134875
2018,CA04,JESSICA MORSE,DEMOCRAT,156253
2018,CA04,TOM MCCLINTOCK,REPUBLICAN,184401
2018,CA05,ANTHONY MILLS,NO PARTY PREFERENCE,55158
2018,CA05,MIKE THOMPSON,DEMOCRAT,205860
2018,CA06,DORIS MATSUI,DEMOCRAT,162411
2018,CA06,JRMAR JEFFERSON,DEMOCRAT,39528
2018,CA07,AMI BERA,DEMOCRAT,155016
2018,CA07,ANDREW GRANT,REPUBLICAN,126601
2018,CA08,PAUL COOK,REPUBLICAN,102415
2018,CA08,TIM DONNELLY,REPUBLICAN,68370
2018,CA09,JERRY MCNERNEY,DEMOCRAT,113414
2018,CA09,MARLA LIVENGOOD,REPUBLICAN,87349
2018,CA10,JEFF DENHAM,REPUBLICAN,105955
2018,CA10,JOSH HARDER,DEMOCRAT,115945
2018,CA11,JOHN FITZGERALD,REPUBLICAN,71312
2018,CA11,MARK DESAULNIER,DEMOCRAT,204369
2018,CA12,LISA REMMER,REPUBLICAN,41780
2018,CA12,NANCY PELOSI,DEMOCRAT,275292
2018,CA13,BARBARA LEE,DEMOCRAT,260580
2018,CA13,LAURA WELLS,GREEN,34257
2018,CA14,CRISTINA OSMENA,REPUBLICAN,55439
2018,CA14,JACKIE SPEIER,DEMOCRAT,211384
2018,CA15,ERIC SWALWELL,DEMOCRAT,177989
2018,CA15,RUDY L PETERS JR,REPUBLICAN,65940
2018,CA16,ELIZABETH HENG,REPUBLICAN,60693
2018,CA16,JIM COSTA,DEMOCRAT,82266
2018,CA17,RO KHANNA,DEMOCRAT,159105
