,Seat,Candidate,Party,Raised,Spent,Winner,Incumbent
0,AL01,Jerry Carl ,gop,"$1,971,321","$1,859,349",Y,N
0,AL01,James Averhart ,dem,"$80,095","$78,973",N,N
0,AL02,Barry Moore ,gop,"$650,807","$669,368",Y,N
0,AL02,Phyllis Harvey-Hall ,dem,"$56,050","$55,988",N,N
0,AL03,Mike D Rogers ,gop,"$1,193,111","$1,218,564",Y,Y
0,AL03,Adia Winfrey ,dem,"$50,273","$40,971",N,N
0,AL04,Robert B Aderholt ,gop,"$1,255,076","$1,323,812",Y,Y
0,AL05,Mo Brooks ,gop,"$655,365","$210,045",Y,Y
0,AL06,Gary Palmer ,gop,"$907,219","$909,082",Y,Y
0,AL07,Terri Sewell ,dem,"$2,168,165","$1,495,957",Y,Y
0,AK01,Don Young ,gop,"$1,922,901","$1,790,448",Y,Y
0,AK01,Alyse Galvin ,gop,"$5,178,452","$5,088,103",N,N
0,AZ01,Tom O'Halleran ,dem,"$3,381,353","$3,324,138",Y,Y
0,AZ01,Tiffany Shedd ,gop,"$1,675,618","$1,615,704",N,N
0,AZ02,Ann Kirkpatrick ,dem,"$1,849,862","$1,384,765",Y,Y
0,AZ02,Brandon Martin ,gop,"$374,821","$381,067",N,N
0,AZ03,Raul M Grijalva ,dem,"$843,560","$655,507",Y,Y
0,AZ03,Daniel Wood ,gop,"$41,422","$41,962",N,N
0,AZ04,Paul Gosar ,gop,"$622,151","$729,892",Y,Y
0,AZ04,Delina DiSanto ,dem,"$77,168","$79,758",N,N
0,AZ05,Andy Biggs ,gop,"$1,602,181","$1,236,380",Y,Y
0,AZ05,Joan Greene ,dem,"$356,069","$209,789",N,N
0,AZ06,David Schweikert ,gop,"$2,265,329","$2,249,979",Y,Y
0,AZ06,Hiral Tipirneni ,dem,"$6,301,073","$6,366,702",N,N
0,AZ06,Tom Lewellen ,dem,"$11,685","$11,000",N,N
0,AZ07,Ruben Gallego ,dem,"$1,811,754","$1,653,961",Y,Y
0,AZ07,Josh Barnett ,gop,"$28,093","$17,883",N,N
0,AZ08,Debbie Lesko ,gop,"$1,605,245","$987,453",Y,Y
0,AZ08,Michael Muscato ,dem,"$357,906","$347,734",N,N
0,AZ09,Greg Stanton ,dem,"$2,001,619","$1,001,350",Y,Y
0,AZ09,Dave Giles ,gop,"$130,480","$129,935",N,N
0,AR01,Rick Crawford ,gop,"$966,801","$1,095,518",Y,Y
0,AR02,French Hill ,gop,"$3,384,490","$3,020,491",Y,Y
0,AR02,Joyce Elliott ,dem,"$3,482,463","$3,478,733",N,N
0,AR03,Steve Womack ,gop,"$1,127,158","$923,120",Y,Y
0,AR03,Celeste Williams ,dem,"$355,294","$355,294",N,N
0,AR04,Bruce Westerman ,gop,"$1,407,770","$1,102,573",Y,Y
0,AR04,William Hanson ,dem,"$109,767","$111,683",N,N
0,CA01,Doug LaMalfa ,gop,"$1,219,556","$1,155,945",Y,Y
0,CA01,Audrey Denney ,dem,"$2,461,769","$2,457,661",N,N
0,CA02,Jared Huffman ,dem,"$899,419","$797,753",Y,Y
0,CA02,Dale Mensing ,gop,"$5,921","$2,197",N,N
0,CA03,John Garamendi ,dem,"$1,054,066","$667,320",Y,Y
0,CA03,Tamika Hamilton ,gop,"$397,099","$384,584",N,N
0,CA04,Tom McClintock ,gop,"$2,053,363","$2,107,248",Y,Y
0,CA04,Brynne Kennedy ,dem,"$3,006,020","$3,002,532",N,N
0,CA05,Mike Thompson ,dem,"$2,208,136","$2,022,751",Y,Y
0,CA06,Doris Matsui ,dem,"$1,019,605","$1,073,529",Y,Y
0,CA06,Christine Bish ,gop,"$44,772","$44,554",N,N
0,CA07,Ami Bera ,dem,"$1,757,748","$1,053,444",Y,Y
0,CA07,Buzz Patterson ,gop,"$43,876","$29,614",N,N
0,CA08,Jay Obernolte ,gop,"$1,861,647","$1,792,064",Y,N
0,CA08,Chris Bubser ,dem,"$1,858,001","$1,856,613",N,N
0,CA09,Jerry McNerney ,dem,"$1,177,959","$1,112,543",Y,Y
0,CA09,Tony Amador ,gop,"$52,175","$52,175",N,N
0,CA10,Josh Harder ,dem,"$7,400,135","$3,950,613",Y,Y
0,CA10,Ted Howze ,gop,"$1,426,552","$1,721,882",N,N
0,CA11,Mark Desaulnier ,dem,"$610,394","$440,537",Y,Y
0,CA11,Nisha Sharma ,gop,"$174,954","$171,870",N,N
0,CA12,Nancy Pelosi ,dem,"$27,359,508","$22,064,953",Y,Y
0,CA12,Shahid Buttar ,dem,"$1,672,876","$1,650,467",N,N
0,CA13,Barbara Lee ,dem,"$1,828,213","$1,750,142",Y,Y
0,CA13,Nikka Piterman ,gop,"$9,839","$9,904",N,N
0,CA14,Jackie Speier ,dem,"$942,934","$919,599",Y,Y
0,CA15,Eric Swalwell ,dem,"$2,807,774","$3,977,839",Y,Y
0,CA16,Jim Costa ,dem,"$2,135,525","$1,835,244",Y,Y
0,CA16,Kevin Cookingham ,gop,"$265,364","$265,364",N,N
0,CA17,Ro Khanna ,dem,"$3,837,982","$2,455,457",Y,Y
0,CA17,Ritesh Tandon ,gop,"$175,536","$175,015",N,N
0,CA18,Anna Eshoo ,dem,"$2,114,909","$2,059,158",Y,Y
0,CA18,Rishi Kumar ,dem,"$674,383","$691,938",N,N
0,CA19,Zoe Lofgren ,dem,"$1,755,555","$1,731,700",Y,Y
0,CA19,Justin Aguilera ,gop,"$9,112","$11,542",N,N
0,CA20,Jimmy Panetta ,dem,"$2,009,894","$1,592,671",Y,Y
0,CA20,Jeff Gorman ,gop,"$67,634","$64,947",N,N
0,CA21,TJ Cox ,dem,"$5,695,157","$5,694,005",N,Y
0,CA21,David Valadao ,gop,"$4,067,880","$3,982,587",Y,N
0,CA22,Devin Nunes ,gop,"$26,825,212","$20,156,093",Y,Y
0,CA22,Phil Arballo ,dem,"$5,091,451","$5,062,185",N,N
0,CA23,Kevin McCarthy ,gop,"$27,780,644","$24,265,583",Y,Y
0,CA23,Kim Mangone ,dem,"$1,671,101","$1,665,373",N,N
0,CA24,Salud Carbajal ,dem,"$2,117,836","$1,451,622",Y,Y
0,CA24,Andy Caldwell ,gop,"$1,298,798","$1,268,199",N,N
0,CA25,Mike Garcia ,gop,"$9,962,507","$9,584,648",Y,Y
0,CA25,Christy Smith ,dem,"$5,977,734","$5,808,477",N,N
