State,state_po,1992,1994,1996,1998,2000,2002,2004,2006,2008,2010,2012,2014,2016,2018,2020,2022
Alabama,AL,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
Alaska,AK,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Arizona,AZ,6,6,6,6,6,8,8,8,8,8,9,9,9,9,9,9
Arkansas,AR,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
California,CA,52,52,52,52,52,53,53,53,53,53,53,53,53,53,53,52
Colorado,CO,6,6,6,6,6,7,7,7,7,7,7,7,7,7,7,8
Connecticut,CT,6,6,6,6,6,5,5,5,5,5,5,5,5,5,5,5
Delaware,DE,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Florida,FL,23,23,23,23,23,25,25,25,25,25,27,27,27,27,27,28
Georgia,GA,11,11,11,11,11,13,13,13,13,13,14,14,14,14,14,14
Hawaii,HI,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Idaho,ID,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Illinois,IL,20,20,20,20,20,19,19,19,19,19,18,18,18,18,18,17
Indiana,IN,10,10,10,10,10,9,9,9,9,9,9,9,9,9,9,9
Iowa,IA,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4
Kansas,KS,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
Kentucky,KY,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
Louisiana,LA,7,7,7,7,7,7,7,7,7,7,6,6,6,6,6,6
Maine,ME,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Maryland,MD,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
Massachusetts,MA,10,10,10,10,10,10,10,10,10,10,9,9,9,9,9,9
Michigan,MI,16,16,16,16,16,15,15,15,15,15,14,14,14,14,14,13
Minnesota,MN,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
Mississippi,MS,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4
Missouri,MO,9,9,9,9,9,9,9,9,9,9,8,8,8,8,8,8
Montana,MT,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2
Nebraska,NE,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
Nevada,NV,2,2,2,2,2,3,3,3,3,3,4,4,4,4,4,4
New_Hampshire,NH,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
New_Jersey,NJ,13,13,13,13,13,13,13,13,13,13,12,12,12,12,12,12
New_Mexico,NM,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
New_York,NY,31,31,31,31,31,29,29,29,29,29,27,27,27,27,27,26
North_Carolina,NC,12,12,12,12,12,13,13,13,13,13,13,13,13,13,13,14
North_Dakota,ND,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Ohio,OH,19,19,19,19,19,18,18,18,18,18,16,16,16,16,16,15
Oklahoma,OK,6,6,6,6,6,5,5,5,5,5,5,5,5,5,5,5
Oregon,OR,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6
Pennsylvania,PA,21,21,21,21,21,19,19,19,19,19,18,18,18,18,18,17
Rhode_Island,RI,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
South_Carolina,SC,6,6,6,6,6,6,6,6,6,6,7,7,7,7,7,7
South_Dakota,SD,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Tennessee,TN,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
Texas,TX,30,30,30,30,30,32,32,32,32,32,36,36,36,36,36,38
Utah,UT,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4
Vermont,VT,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Virginia,VA,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
Washington,WA,9,9,9,9,9,9,9,9,9,9,10,10,10,10,10,10
West_Virginia,WV,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2
Wisconsin,WI,9,9,9,9,9,8,8,8,8,8,8,8,8,8,8,8
Wyoming,WY,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
