District,Estimated_Household_Median_Income
"Congressional District 1 (116th Congress), Alabama",50663
"Congressional District 2 (116th Congress), Alabama",50494
"Congressional District 3 (116th Congress), Alabama",51925
"Congressional District 4 (116th Congress), Alabama",47531
"Congressional District 5 (116th Congress), Alabama",59950
"Congressional District 6 (116th Congress), Alabama",69072
"Congressional District 7 (116th Congress), Alabama",38023
"Congressional District (at Large) (116th Congress), Alaska",75463
"Congressional District 1 (116th Congress), Arizona",56117
"Congressional District 2 (116th Congress), Arizona",54835
"Congressional District 3 (116th Congress), Arizona",54583
"Congressional District 4 (116th Congress), Arizona",55040
"Congressional District 5 (116th Congress), Arizona",82540
"Congressional District 6 (116th Congress), Arizona",76615
"Congressional District 7 (116th Congress), Arizona",49066
"Congressional District 8 (116th Congress), Arizona",73632
"Congressional District 9 (116th Congress), Arizona",65379
"Congressional District 1 (116th Congress), Arkansas",43193
"Congressional District 2 (116th Congress), Arkansas",53600
"Congressional District 3 (116th Congress), Arkansas",54310
"Congressional District 4 (116th Congress), Arkansas",43824
"Congressional District 1 (116th Congress), California",61433
"Congressional District 2 (116th Congress), California",80051
"Congressional District 3 (116th Congress), California",73191
"Congressional District 4 (116th Congress), California",86374
"Congressional District 5 (116th Congress), California",85856
"Congressional District 6 (116th Congress), California",64687
"Congressional District 7 (116th Congress), California",77786
"Congressional District 8 (116th Congress), California",56140
"Congressional District 9 (116th Congress), California",72237
"Congressional District 10 (116th Congress), California",69647
"Congressional District 11 (116th Congress), California",103580
"Congressional District 12 (116th Congress), California",127290
"Congressional District 13 (116th Congress), California",91514
"Congressional District 14 (116th Congress), California",125980
"Congressional District 15 (116th Congress), California",125018
"Congressional District 16 (116th Congress), California",50401
"Congressional District 17 (116th Congress), California",147671
"Congressional District 18 (116th Congress), California",149375
"Congressional District 19 (116th Congress), California",107240
"Congressional District 20 (116th Congress), California",80461
"Congressional District 21 (116th Congress), California",46037
"Congressional District 22 (116th Congress), California",66532
"Congressional District 23 (116th Congress), California",63550
"Congressional District 24 (116th Congress), California",76308
"Congressional District 25 (116th Congress), California",84670
"Congressional District 26 (116th Congress), California",91602
"Congressional District 27 (116th Congress), California",90792
"Congressional District 28 (116th Congress), California",74431
"Congressional District 29 (116th Congress), California",60970
"Congressional District 30 (116th Congress), California",89460
"Congressional District 31 (116th Congress), California",70554
"Congressional District 32 (116th Congress), California",71136
"Congressional District 33 (116th Congress), California",117012
"Congressional District 34 (116th Congress), California",52043
"Congressional District 35 (116th Congress), California",73069
"Congressional District 36 (116th Congress), California",58728
"Congressional District 37 (116th Congress), California",69573
"Congressional District 38 (116th Congress), California",79573
"Congressional District 39 (116th Congress), California",96431
"Congressional District 40 (116th Congress), California",51774
"Congressional District 41 (116th Congress), California",69984
"Congressional District 42 (116th Congress), California",90651
"Congressional District 43 (116th Congress), California",66670
"Congressional District 44 (116th Congress), California",59030
"Congressional District 45 (116th Congress), California",115427
"Congressional District 46 (116th Congress), California",71800
"Congressional District 47 (116th Congress), California",72493
"Congressional District 48 (116th Congress), California",100604
"Congressional District 49 (116th Congress), California",100037
"Congressional District 50 (116th Congress), California",78346
"Congressional District 51 (116th Congress), California",52471
"Congressional District 52 (116th Congress), California",106524
"Congressional District 53 (116th Congress), California",82083
"Congressional District 1 (116th Congress), Colorado",77507
"Congressional District 2 (116th Congress), Colorado",87585
"Congressional District 3 (116th Congress), Colorado",59973
"Congressional District 4 (116th Congress), Colorado",83609
"Congressional District 5 (116th Congress), Colorado",71244
"Congressional District 6 (116th Congress), Colorado",87312
"Congressional District 7 (116th Congress), Colorado",77164
"Congressional District 1 (116th Congress), Connecticut",75502
"Congressional District 2 (116th Congress), Connecticut",80280
"Congressional District 3 (116th Congress), Connecticut",70574
"Congressional District 4 (116th Congress), Connecticut",101646
"Congressional District 5 (116th Congress), Connecticut",73616
"Congressional District (at Large) (116th Congress), Delaware",70176
"Delegate District (at Large) (116th Congress), District of Columbia",92266
"Congressional District 1 (116th Congress), Florida",58358
"Congressional District 2 (116th Congress), Florida",54087
"Congressional District 3 (116th Congress), Florida",56005
"Congressional District 4 (116th Congress), Florida",77026
"Congressional District 5 (116th Congress), Florida",43667
"Congressional District 6 (116th Congress), Florida",55281
"Congressional District 7 (116th Congress), Florida",66748
"Congressional District 8 (116th Congress), Florida",58740
"Congressional District 9 (116th Congress), Florida",54878
"Congressional District 10 (116th Congress), Florida",61737
"Congressional District 11 (116th Congress), Florida",52749
"Congressional District 12 (116th Congress), Florida",56761
"Congressional District 13 (116th Congress), Florida",56612
"Congressional District 14 (116th Congress), Florida",60022
"Congressional District 15 (116th Congress), Florida",57496
"Congressional District 16 (116th Congress), Florida",68071
"Congressional District 17 (116th Congress), Florida",53693
"Congressional District 18 (116th Congress), Florida",68744
"Congressional District 19 (116th Congress), Florida",67598
"Congressional District 20 (116th Congress), Florida",49223
"Congressional District 21 (116th Congress), Florida",65394
"Congressional District 22 (116th Congress), Florida",69452
"Congressional District 23 (116th Congress), Florida",69198
"Congressional District 24 (116th Congress), Florida",44275
"Congressional District 25 (116th Congress), Florida",56270
"Congressional District 26 (116th Congress), Florida",65584
"Congressional District 27 (116th Congress), Florida",60384
"Congressional District 1 (116th Congress), Georgia",55542
"Congressional District 2 (116th Congress), Georgia",39728
"Congressional District 3 (116th Congress), Georgia",66614
"Congressional District 4 (116th Congress), Georgia",60128
"Congressional District 5 (116th Congress), Georgia",60247
"Congressional District 6 (116th Congress), Georgia",100110
"Congressional District 7 (116th Congress), Georgia",80926
"Congressional District 8 (116th Congress), Georgia",50745
"Congressional District 9 (116th Congress), Georgia",59728
"Congressional District 10 (116th Congress), Georgia",61151
"Congressional District 11 (116th Congress), Georgia",76640
"Congressional District 12 (116th Congress), Georgia",50217
"Congressional District 13 (116th Congress), Georgia",66203
"Congressional District 14 (116th Congress), Georgia",56150
"Congressional District 1 (116th Congress), Hawaii",86674
"Congressional District 2 (116th Congress), Hawaii",79985
"Congressional District 1 (116th Congress), Idaho",62886
"Congressional District 2 (116th Congress), Idaho",58708
"Congressional District 1 (116th Congress), Illinois",56680
"Congressional District 2 (116th Congress), Illinois",51472
"Congressional District 3 (116th Congress), Illinois",75411
"Congressional District 4 (116th Congress), Illinois",59548
"Congressional District 5 (116th Congress), Illinois",94144
"Congressional District 6 (116th Congress), Illinois",105292
"Congressional District 7 (116th Congress), Illinois",64312
"Congressional District 8 (116th Congress), Illinois",77991
"Congressional District 9 (116th Congress), Illinois",78569
"Congressional District 10 (116th Congress), Illinois",84608
"Congressional District 11 (116th Congress), Illinois",81598
"Congressional District 12 (116th Congress), Illinois",53008
"Congressional District 13 (116th Congress), Illinois",53578
"Congressional District 14 (116th Congress), Illinois",100011
"Congressional District 15 (116th Congress), Illinois",56268
"Congressional District 16 (116th Congress), Illinois",62868
"Congressional District 17 (116th Congress), Illinois",50346
"Congressional District 18 (116th Congress), Illinois",67284
"Congressional District 1 (116th Congress), Indiana",61104
"Congressional District 2 (116th Congress), Indiana",54788
"Congressional District 3 (116th Congress), Indiana",57288
"Congressional District 4 (116th Congress), Indiana",60119
"Congressional District 5 (116th Congress), Indiana",76417
"Congressional District 6 (116th Congress), Indiana",55959
"Congressional District 7 (116th Congress), Indiana",46118
"Congressional District 8 (116th Congress), Indiana",54326
"Congressional District 9 (116th Congress), Indiana",60448
"Congressional District 1 (116th Congress), Iowa",61542
"Congressional District 2 (116th Congress), Iowa",59569
"Congressional District 3 (116th Congress), Iowa",67681
"Congressional District 4 (116th Congress), Iowa",58270
"Congressional District 1 (116th Congress), Kansas",55188
"Congressional District 2 (116th Congress), Kansas",56515
"Congressional District 3 (116th Congress), Kansas",81792
"Congressional District 4 (116th Congress), Kansas",58119
"Congressional District 1 (116th Congress), Kentucky",46999
"Congressional District 2 (116th Congress), Kentucky",53496
"Congressional District 3 (116th Congress), Kentucky",57546
"Congressional District 4 (116th Congress), Kentucky",66327
"Congressional District 5 (116th Congress), Kentucky",35636
"Congressional District 6 (116th Congress), Kentucky",55613
"Congressional District 1 (116th Congress), Louisiana",61431
"Congressional District 2 (116th Congress), Louisiana",44124
"Congressional District 3 (116th Congress), Louisiana",51504
"Congressional District 4 (116th Congress), Louisiana",44580
"Congressional District 5 (116th Congress), Louisiana",41257
"Congressional District 6 (116th Congress), Louisiana",65549
"Congressional District 1 (116th Congress), Maine",67392
"Congressional District 2 (116th Congress), Maine",51202
"Congressional District 1 (116th Congress), Maryland",80022
"Congressional District 2 (116th Congress), Maryland",73004
"Congressional District 3 (116th Congress), Maryland",94736
"Congressional District 4 (116th Congress), Maryland",88207
"Congressional District 5 (116th Congress), Maryland",101298
"Congressional District 6 (116th Congress), Maryland",88592
"Congressional District 7 (116th Congress), Maryland",63082
"Congressional District 8 (116th Congress), Maryland",109016
"Congressional District 1 (116th Congress), Massachusetts",61559
"Congressional District 2 (116th Congress), Massachusetts",77375
"Congressional District 3 (116th Congress), Massachusetts",81879
"Congressional District 4 (116th Congress), Massachusetts",104857
"Congressional District 5 (116th Congress), Massachusetts",106311
"Congressional District 6 (116th Congress), Massachusetts",97115
"Congressional District 7 (116th Congress), Massachusetts",75461
"Congressional District 8 (116th Congress), Massachusetts",100690
"Congressional District 9 (116th Congress), Massachusetts",77167
"Congressional District 1 (116th Congress), Michigan",51553
"Congressional District 2 (116th Congress), Michigan",59356
"Congressional District 3 (116th Congress), Michigan",64919
"Congressional District 4 (116th Congress), Michigan",54166
"Congressional District 5 (116th Congress), Michigan",47655
"Congressional District 6 (116th Congress), Michigan",56520
"Congressional District 7 (116th Congress), Michigan",61379
"Congressional District 8 (116th Congress), Michigan",74841
"Congressional District 9 (116th Congress), Michigan",62943
"Congressional District 10 (116th Congress), Michigan",67472
"Congressional District 11 (116th Congress), Michigan",88253
"Congressional District 12 (116th Congress), Michigan",62253
"Congressional District 13 (116th Congress), Michigan",39005
"Congressional District 14 (116th Congress), Michigan",50438
"Congressional District 1 (116th Congress), Minnesota",66330
"Congressional District 2 (116th Congress), Minnesota",90531
"Congressional District 3 (116th Congress), Minnesota",98877
"Congressional District 4 (116th Congress), Minnesota",75665
"Congressional District 5 (116th Congress), Minnesota",68709
"Congressional District 6 (116th Congress), Minnesota",84159
"Congressional District 7 (116th Congress), Minnesota",60932
"Congressional District 8 (116th Congress), Minnesota",61659
"Congressional District 1 (116th Congress), Mississippi",50243
"Congressional District 2 (116th Congress), Mississippi",37372
"Congressional District 3 (116th Congress), Mississippi",49863
"Congressional District 4 (116th Congress), Mississippi",47340
"Congressional District 1 (116th Congress), Missouri",50163
"Congressional District 2 (116th Congress), Missouri",88684
"Congressional District 3 (116th Congress), Missouri",69621
"Congressional District 4 (116th Congress), Missouri",53237
"Congressional District 5 (116th Congress), Missouri",55239
"Congressional District 6 (116th Congress), Missouri",62094
"Congressional District 7 (116th Congress), Missouri",47679
"Congressional District 8 (116th Congress), Missouri",45656
"Congressional District (at Large) (116th Congress), Montana",57153
"Congressional District 1 (116th Congress), Nebraska",63921
"Congressional District 2 (116th Congress), Nebraska",71277
"Congressional District 3 (116th Congress), Nebraska",55729
"Congressional District 1 (116th Congress), Nevada",44078
"Congressional District 2 (116th Congress), Nevada",69972
"Congressional District 3 (116th Congress), Nevada",79169
"Congressional District 4 (116th Congress), Nevada",62241
"Congressional District 1 (116th Congress), New Hampshire",79996
"Congressional District 2 (116th Congress), New Hampshire",76368
"Congressional District 1 (116th Congress), New Jersey",75244
"Congressional District 2 (116th Congress), New Jersey",68127
"Congressional District 3 (116th Congress), New Jersey",85746
"Congressional District 4 (116th Congress), New Jersey",91212
"Congressional District 5 (116th Congress), New Jersey",110329
