Seat,Total_Raised_Mill,Total_Spent_Mill,Margin,Median_Household_Income
AL01,1.938322,1.938322,28.8,50663
AL02,0.725356,0.725356,30.6,50494
AL03,1.259535,1.259535,35,51925
AZ01,4.939842,4.939842,3.2,56117
AZ02,1.765832,1.765832,10.2,54835
AZ03,0.697469,0.697469,29.2,54583
AZ04,0.80965,0.80965,39.6,55040
AZ05,1.446169,1.446169,17.8,82540
AZ06,8.616681,8.616681,4.4,76615
AZ07,1.671844,1.671844,53.4,49066
AZ08,1.335187,1.335187,19.2,73632
AZ09,1.131285,1.131285,23.2,65379
AR02,6.499224,6.499224,10.8,53600
AR03,1.278414,1.278414,32.5,54310
AR04,1.214256,1.214256,42.2,43824
CA01,3.613606,3.613606,14,61433
CA02,0.79995,0.79995,51.4,80051
CA03,1.051904,1.051904,9.4,73191
CA04,5.10978,5.10978,11.8,86374
CA06,1.118083,1.118083,46.6,64687
CA07,1.083058,1.083058,13.2,77786
CA08,3.648677,3.648677,12.2,56140
CA09,1.164718,1.164718,15.2,72237
CA10,5.672495,5.672495,10.4,69647
CA12,23.71542,23.71542,55.2,127290
CA13,1.760046,1.760046,80.8,91514
CA16,2.100608,2.100608,18.8,50401
CA17,2.630472,2.630472,42.6,147671
CA18,2.751096,2.751096,26.4,149375
CA19,1.743242,1.743242,43.4,107240
CA20,1.657618,1.657618,53.6,80461
CA21,9.676592,9.676592,0.8,46037
CA22,25.218278,25.218278,8.4,66532
CA23,25.930956,25.930956,24.2,63550
CA24,2.719821,2.719821,17.4,76308
CA25,15.393125,15.393125,0,84670
CA27,0.995457,0.995457,39.6,90792
CA28,13.978691,13.978691,45.4,74431
CA29,1.290215,1.290215,13.2,60970
CA31,1.989341,1.989341,22.6,70554
CA32,0.265295,0.265295,33.2,71136
CA33,1.661608,1.661608,35.2,117012
CA34,1.348693,1.348693,6,52043
CA35,0.700515,0.700515,38.6,73069
CA36,1.786283,1.786283,20.6,58728
CA37,1.377018,1.377018,71.8,69573
CA39,10.372115,10.372115,1.2,96431
CA40,0.820649,0.820649,45.4,51774
CA41,1.609403,1.609403,28,69984
CA42,1.677895,1.677895,14.2,90651
CA43,11.82806,11.82806,43.4,66670
CA45,7.685413,7.685413,7,115427
CA47,0.87644,0.87644,26.6,72493
CA48,12.323034,12.323034,2.2,100604
CA49,5.709783,5.709783,6.2,100037
CA50,17.194868,17.194868,8,78346
CA51,0.882853,0.882853,36.6,52471
CO02,0.77294,0.77294,26.1,87585
CO03,7.616954,7.616954,6.2,59973
CO04,0.756791,0.756791,23.5,83609
CO05,0.504559,0.504559,20.2,71244
CO06,4.090487,4.090487,17.1,87312
CO07,1.487354,1.487354,21.5,77164
CT01,1.348808,1.348808,28.8,75502
CT02,1.078127,1.078127,21.2,80280
CT03,3.63102,3.63102,18.9,70574
CT04,2.197414,2.197414,25.9,101646
CT05,1.962055,1.962055,11.6,73616
DE01,1.43748,1.43748,17.4,92266
FL01,6.383233,6.383233,30.6,58358
FL03,1.309442,1.309442,14.2,56005
FL04,2.296858,2.296858,22.2,77026
FL05,0.842688,0.842688,30.2,43667
FL06,1.739019,1.739019,21.2,55281
FL07,2.829865,2.829865,12.1,66748
FL08,1.260624,1.260624,22.8,58740
FL09,1.346956,1.346956,12,54878
FL10,1.523872,1.523872,27.2,61737
FL11,0.649345,0.649345,33.4,52749
FL12,1.582178,1.582178,25.8,56761
FL13,7.242931,7.242931,6,56612
FL14,1.44284,1.44284,20.6,60022
FL15,3.938614,3.938614,10.8,57496
FL16,6.508611,6.508611,11,68071
FL17,0.699443,0.699443,30.5,53693
FL18,6.934043,6.934043,14.8,68744
FL19,2.942115,2.942115,22.6,67598
FL20,0.570854,0.570854,57.4,49223
FL21,3.550475,3.550475,19.9,65394
FL22,1.54391,1.54391,17.2,69452
FL23,2.883464,2.883464,16.4,69198
FL24,0.355928,0.355928,55.2,44275
FL26,9.010129,9.010129,3.4,65584
FL27,7.38178,7.38178,2.8,60384
GA01,1.859754,1.859754,16.6,55542
GA02,1.603093,1.603093,18.2,39728
GA03,2.182857,2.182857,30,66614
GA05,0.664139,0.664139,70.2,60247
GA06,11.658986,11.658986,9.2,100110
GA07,7.724954,7.724954,2.8,80926
GA08,0.721379,0.721379,29,50745
GA09,1.645939,1.645939,57.2,59728
GA10,0.469862,0.469862,24.6,61151
GA11,1.095828,1.095828,20.8,76640
GA12,0.734879,0.734879,16.8,50217
GA13,1.194681,1.194681,54.8,66203
HI01,0.485216,0.485216,44,86674
HI02,1.094981,1.094981,32.1,79985
ID01,0.811359,0.811359,39.2,62886
ID02,1.169872,1.169872,32.4,58708
IL01,0.501502,0.501502,47.6,56680
IL03,2.827303,2.827303,12.8,75411
IL04,0.712002,0.712002,68.2,59548
IL06,8.449034,8.449034,7.4,105292
IL10,2.938097,2.938097,27.8,84608
IL11,1.84397,1.84397,26.6,81598
IL12,1.614382,1.614382,20.8,53008
IL13,10.10448,10.10448,9,53578
IL14,9.650301,9.650301,1.4,100011
IL15,0.593705,0.593705,46.8,56268
IL16,1.964717,1.964717,29.4,62868
IL17,8.421596,8.421596,4,50346
IN01,0.47975,0.47975,16.2,61104
IN02,2.565503,2.565503,23,54788
IN03,0.859474,0.859474,35.6,57288
IN04,0.233371,0.233371,33.2,60119
IN05,7.009108,7.009108,4.1,76417
IN06,2.949463,2.949463,40.9,55959
IN07,0.933805,0.933805,24.8,46118
IN08,1.147126,1.147126,37.1,54326
IN09,0.636042,0.636042,26.1,60448
IA01,10.934616,10.934616,2.6,61542
IA02,5.836326,5.836326,0,59569
IA03,9.331576,9.331576,1.4,67681
IA04,4.796291,4.796291,24.2,58270
KS01,1.72008,1.72008,42.4,55188
KS03,7.307707,7.307707,10,81792
KS04,1.678872,1.678872,27.4,58119
KY02,1.637744,1.637744,44.7,53496
KY03,0.735894,0.735894,25.4,57546
KY04,1.669634,1.669634,34.2,66327
