Seat,Candidate,Party,Raised,Spent,Winner,Incumbent
AK01,Alyse Galvin ,gop,"$5,178,452","$5,088,103",N,N
AZ06,Tom Lewellen ,dem,"$11,685","$11,000",N,N
CA11,Mark Desaulnier ,dem,"$610,394","$440,537",Y,Y
CA26,Ronda Kennedy ,gop,"$246,226","$67,208",N,N
CA52,James Debello ,gop,"$233,464","$224,630",N,N
CO02,Alex Johnson ,gop,"$4,782","$4,093",N,N
CO03,Chris Milton ,gop,"$12,012","$12,012",N,N
CO05,Rebecca Keltie ,dem,"$2,552","$1,495",N,N
CO06,Jaimie Kulikowski ,gop,"$72,293","$110,645",N,N
CO07,Anthony Malgieri ,gop,"$1,930","$1,958",N,N
CO08,Yadira Caraveo ,dem,"$3,127,799","$2,533,756",N,N
CO08,Barb Kirkmeyer ,gop,"$1,358,670","$1,238,284",N,N
CT03,Justin Paglino ,gop,"$29,200","$28,670",N,N
DE01,Catherine Purcell ,gop,"$5,344","$5,103",N,N
FL01,Bert Oram ,dem,"$8,108","$7,070",N,N
FL02,Kristy Thripp ,gop,$145,$145,N,N
FL06,Gerry Nolan ,dem,"$4,467","$5,256",N,N
FL07,Bill Garlington ,gop,"$11,000",$0,N,N
FL10,Kristofer Steven Lawson ,gop,$47,$47,N,N
FL21,Charleston Malkemus ,gop,"$28,928","$28,636",N,N
FL24,Christine Olivo ,gop,"$31,646","$32,898",N,N
FL27,Frank Polo ,gop,"$4,606","$4,662",N,N
FL28,Carlos Gimenez ,gop,"$2,050,947","$903,504",Y,Y
FL28,Robert Asencio ,dem,"$105,930","$80,821",N,N
FL28,Jeremiah Schaffer ,dem,"$30,515","$30,245",N,N
GA04,Johsira C. Cruz ,gop,"$12,954","$23,146",N,N
GA05,Robert Franklin ,dem,"$360,473","$358,394",N,N
GA05,Kwanza Hall ,dem,"$239,597","$227,091",N,N
GA05,Barrington Martin II ,dem,"$16,522","$16,517",N,N
GA05,Chase Oliver ,dem,"$9,225","$5,220",N,N
GA05,Steven Muhammad ,dem,"$3,497","-$4,965",N,N
GA05,Keisha Waites ,dem,$875,$0,N,N
GA08,Jimmy Cooper ,gop,"$8,542","$8,528",N,N
