Seat,Candidate,Party,Raised,Spent,Percent,Votes,Winner,Incumbent
AL01,Jerry Carl ,gop,"$1,971,321","$1,859,349",64.4,"211,825",Y,N
AL01,James Averhart ,dem,"$80,095","$78,973",35.6,"116,949",N,N
AL02,Barry Moore ,gop,"$650,807","$669,368",65.3,"197,996",Y,N
AL02,Phyllis Harvey-Hall ,dem,"$56,050","$55,988",34.7,"105,286",N,N
AL03,Mike D Rogers ,gop,"$1,193,111","$1,218,564",67.5,"217,384",Y,Y
AL03,Adia Winfrey ,dem,"$50,273","$40,971",32.5,"104,595",N,N
AL04,Robert B Aderholt ,gop,"$1,255,076","$1,323,812",82.3,"261,553",Y,Y
AL05,Mo Brooks ,gop,"$655,365","$210,045",0,0,Y,Y
AL06,Gary Palmer ,gop,"$907,219","$909,082",0,0,Y,Y
AL07,Terri Sewell ,dem,"$2,168,165","$1,495,957",0,0,Y,Y
AK01,Don Young ,gop,"$1,922,901","$1,790,448",54.6,"192,126",Y,Y
AZ01,Tom O'Halleran ,dem,"$3,381,353","$3,324,138",51.6,"188,469",Y,Y
AZ01,Tiffany Shedd ,gop,"$1,675,618","$1,615,704",48.4,"176,709",N,N
AZ02,Ann Kirkpatrick ,dem,"$1,849,862","$1,384,765",55.1,"209,945",Y,Y
AZ02,Brandon Martin ,gop,"$374,821","$381,067",44.9,"170,975",N,N
AZ03,Raul M Grijalva ,dem,"$843,560","$655,507",64.6,"174,243",Y,Y
AZ03,Daniel Wood ,gop,"$41,422","$41,962",35.4,"95,594",N,N
AZ04,Paul Gosar ,gop,"$622,151","$729,892",69.8,"278,002",Y,Y
AZ04,Delina DiSanto ,dem,"$77,168","$79,758",30.2,"120,484",N,N
AZ05,Andy Biggs ,gop,"$1,602,181","$1,236,380",58.9,"262,414",Y,Y
AZ05,Joan Greene ,dem,"$356,069","$209,789",41.1,"183,171",N,N
AZ06,David Schweikert ,gop,"$2,265,329","$2,249,979",52.2,"217,783",Y,Y
AZ06,Hiral Tipirneni ,dem,"$6,301,073","$6,366,702",47.8,"199,644",N,N
AZ07,Ruben Gallego ,dem,"$1,811,754","$1,653,961",76.7,"165,452",Y,Y
AZ07,Josh Barnett ,gop,"$28,093","$17,883",23.3,"50,226",N,N
AZ08,Debbie Lesko ,gop,"$1,605,245","$987,453",59.6,"251,633",Y,Y
AZ08,Michael Muscato ,dem,"$357,906","$347,734",40.4,"170,816",N,N
AZ09,Greg Stanton ,dem,"$2,001,619","$1,001,350",61.6,"217,094",Y,Y
AZ09,Dave Giles ,gop,"$130,480","$129,935",38.4,"135,180",N,N
AR01,Rick Crawford ,gop,"$966,801","$1,095,518",0,0,Y,Y
AR02,French Hill ,gop,"$3,384,490","$3,020,491",55.4,"184,093",Y,Y
AR02,Joyce Elliott ,dem,"$3,482,463","$3,478,733",44.6,"148,410",N,N
AR03,Steve Womack ,gop,"$1,127,158","$923,120",64.3,"214,960",Y,Y
AR03,Celeste Williams ,dem,"$355,294","$355,294",31.8,"106,325",N,N
AR04,Bruce Westerman ,gop,"$1,407,770","$1,102,573",69.7,"191,617",Y,Y
AR04,William Hanson ,dem,"$109,767","$111,683",27.5,"75,750",N,N
CA01,Doug LaMalfa ,gop,"$1,219,556","$1,155,945",57,"204,190",Y,Y
CA01,Audrey Denney ,dem,"$2,461,769","$2,457,661",43,"154,073",N,N
CA02,Jared Huffman ,dem,"$899,419","$797,753",75.7,"294,435",Y,Y
CA02,Dale Mensing ,gop,"$5,921","$2,197",24.3,"94,320",N,N
CA03,John Garamendi ,dem,"$1,054,066","$667,320",54.7,"176,043",Y,Y
CA03,Tamika Hamilton ,gop,"$397,099","$384,584",45.3,"145,945",N,N
CA04,Tom McClintock ,gop,"$2,053,363","$2,107,248",55.9,"247,291",Y,Y
CA04,Brynne Kennedy ,dem,"$3,006,020","$3,002,532",44.1,"194,731",N,N
CA05,Mike Thompson ,dem,"$2,208,136","$2,022,751",76.1,"271,233",Y,Y
CA06,Doris Matsui ,dem,"$1,019,605","$1,073,529",73.3,"229,648",Y,Y
CA06,Christine Bish ,gop,"$44,772","$44,554",26.7,"83,466",N,N
CA07,Ami Bera ,dem,"$1,757,748","$1,053,444",56.6,"217,416",Y,Y
CA07,Buzz Patterson ,gop,"$43,876","$29,614",43.4,"166,549",N,N
CA08,Jay Obernolte ,gop,"$1,861,647","$1,792,064",56.1,"158,711",Y,N
CA08,Chris Bubser ,dem,"$1,858,001","$1,856,613",43.9,"124,400",N,N
CA09,Jerry McNerney ,dem,"$1,177,959","$1,112,543",57.6,"174,252",Y,Y
CA09,Tony Amador ,gop,"$52,175","$52,175",42.4,"128,358",N,N
CA10,Josh Harder ,dem,"$7,400,135","$3,950,613",55.2,"166,865",Y,Y
CA10,Ted Howze ,gop,"$1,426,552","$1,721,882",44.8,"135,629",N,N
CA11,Nisha Sharma ,gop,"$174,954","$171,870",27,"100,293",N,N
CA12,Nancy Pelosi ,dem,"$27,359,508","$22,064,953",77.6,"281,776",Y,Y
CA12,Shahid Buttar ,dem,"$1,672,876","$1,650,467",22.4,"81,174",N,N
CA13,Barbara Lee ,dem,"$1,828,213","$1,750,142",90.4,"327,863",Y,Y
CA13,Nikka Piterman ,gop,"$9,839","$9,904",9.6,"34,955",N,N
CA14,Jackie Speier ,dem,"$942,934","$919,599",79.3,"278,300",Y,Y
CA15,Eric Swalwell ,dem,"$2,807,774","$3,977,839",70.9,"242,991",Y,Y
CA16,Jim Costa ,dem,"$2,135,525","$1,835,244",59.4,"128,690",Y,Y
CA16,Kevin Cookingham ,gop,"$265,364","$265,364",40.6,"88,039",N,N
CA17,Ro Khanna ,dem,"$3,837,982","$2,455,457",71.3,"212,137",Y,Y
CA17,Ritesh Tandon ,gop,"$175,536","$175,015",28.7,"85,199",N,N
CA18,Anna Eshoo ,dem,"$2,114,909","$2,059,158",63.2,"217,388",Y,Y
CA18,Rishi Kumar ,dem,"$674,383","$691,938",36.8,"126,751",N,N
CA19,Zoe Lofgren ,dem,"$1,755,555","$1,731,700",71.7,"224,385",Y,Y
CA19,Justin Aguilera ,gop,"$9,112","$11,542",28.3,"88,642",N,N
CA20,Jimmy Panetta ,dem,"$2,009,894","$1,592,671",76.8,"236,896",Y,Y
CA20,Jeff Gorman ,gop,"$67,634","$64,947",23.2,"71,658",N,N
CA21,David Valadao ,gop,"$4,067,880","$3,982,587",50.4,"85,928",Y,N
CA21,TJ Cox ,dem,"$5,695,157","$5,694,005",49.6,"84,406",N,Y
CA22,Devin Nunes ,gop,"$26,825,212","$20,156,093",54.2,"170,888",Y,Y
CA22,Phil Arballo ,dem,"$5,091,451","$5,062,185",45.8,"144,251",N,N
CA23,Kevin McCarthy ,gop,"$27,780,644","$24,265,583",62.1,"190,222",Y,Y
CA23,Kim Mangone ,dem,"$1,671,101","$1,665,373",37.9,"115,896",N,N
CA24,Salud Carbajal ,dem,"$2,117,836","$1,451,622",58.7,"212,564",Y,Y
CA24,Andy Caldwell ,gop,"$1,298,798","$1,268,199",41.3,"149,781",N,N
CA25,Mike Garcia ,gop,"$9,962,507","$9,584,648",50,"169,638",Y,Y
CA25,Christy Smith ,dem,"$5,977,734","$5,808,477",50,"169,305",N,N
CA26,Julia Brownley ,dem,"$1,976,695","$1,314,677",60.6,"208,856",Y,Y
CA27,Judy Chu ,dem,"$1,213,706","$956,298",69.8,"221,411",Y,Y
CA27,Johnny Nalbandian ,gop,"$39,584","$39,159",30.2,"95,907",N,N
CA28,Adam Schiff ,dem,"$19,382,855","$10,188,664",72.7,"244,271",Y,Y
CA28,Eric Early ,gop,"$4,085,322","$3,790,027",27.3,"91,928",N,N
CA29,Tony Cardenas ,dem,"$1,419,697","$1,213,588",56.6,"119,420",Y,Y
CA29,Angelica Duenas ,dem,"$78,083","$76,627",43.4,"91,524",N,N
CA30,Brad Sherman ,dem,"$1,513,374","$1,111,826",69.5,"240,038",Y,Y
CA31,Pete Aguilar ,dem,"$2,475,748","$1,861,434",61.3,"175,315",Y,Y
CA31,Agnes Gibboney ,gop,"$138,687","$127,907",38.7,"110,735",N,N
