Name,Race,In-District,Out-of-District
Wes Lambert (R),Alabama District 01,83.95%,16.05%
Rick Collins (D),Alabama District 01,100.00%,0.00%
Kiani A. Gardner (D),Alabama District 01,51.75%,48.25%
John Castorani (R),Alabama District 01,0.00%,100.00%
Jerry Carl (R),Alabama District 01,88.65%,11.35%
James Averhart (D),Alabama District 01,60.48%,39.52%
Chris Pringle (R),Alabama District 01,74.26%,25.74%
Bill Hightower (R),Alabama District 01,57.51%,42.49%
Will Dismukes (R),Alabama District 02,68.09%,31.91%
Troy King (R),Alabama District 02,26.08%,73.92%
Thomas Brown Jr. (R),Alabama District 02,100.00%,0.00%
Terri Hasdorff (R),Alabama District 02,0.42%,99.58%
Phyllis Harvey-Hall (D),Alabama District 02,48.84%,51.16%
Jessica Taylor (R),Alabama District 02,22.12%,77.88%
Jeff Coleman (R),Alabama District 02,74.45%,25.55%
Bob Rogers (R),Alabama District 02,100.00%,0.00%
Barry Moore (R),Alabama District 02,42.78%,57.22%
Mike D Rogers (R),Alabama District 03,29.89%,70.11%
Mallory Hagan (D),Alabama District 03,53.41%,46.59%
Adia Winfrey (D),Alabama District 03,36.26%,63.74%
Robert B Aderholt (R),Alabama District 04,24.22%,75.78%
Rick Neighbors (D),Alabama District 04,54.53%,45.47%
Mo Brooks (R),Alabama District 05,81.99%,18.01%
Chris Lewis (R),Alabama District 05,65.75%,34.25%
Gary Palmer (R),Alabama District 06,44.59%,55.41%
Terri A Sewell (D),Alabama District 07,4.10%,95.90%
Wendy Rogers (R),Arizona District 01,10.17%,89.83%
Tom O'Halleran (D),Arizona District 01,15.03%,84.97%
Tiffany Shedd (R),Arizona District 01,15.01%,84.99%
Nolan Reidhead (R),Arizona District 01,59.14%,40.86%
John Moore (R),Arizona District 01,0.00%,100.00%
Eva Putzova (D),Arizona District 01,24.24%,75.76%
Doyel Shamley (R),Arizona District 01,87.23%,12.77%
Chris Taylor (R),Arizona District 01,95.21%,4.79%
Barbara McGuire (D),Arizona District 01,68.75%,31.25%
Shay Stautz (R),Arizona District 02,73.53%,26.47%
Peter Quilter (D),Arizona District 02,0.00%,100.00%
Noran Eric Ruden (R),Arizona District 02,74.75%,25.25%
Justine Wadsack (R),Arizona District 02,63.11%,36.89%
Joseph Morgan (R),Arizona District 02,81.70%,18.30%
Brandon Martin (R),Arizona District 02,56.03%,43.97%
