Seat,Candidate,Party,Amount_Raised,Percent_Raised,Amount_Spent,Percent_Spent,Percent_Votes,Votes,Winner,Incumbent
AL01,Jerry Carl ,gop,"$1,971,321",96.09562371,"$1,859,349",95.92570275,64.4,"211,825",Y,N
AL01,James Averhart ,dem,"$80,095",3.904376294,"$78,973",4.074297253,35.6,"116,949",N,N
AL02,Barry Moore ,gop,"$650,807",92.07053195,"$669,368",92.28130739,65.3,"197,996",Y,N
AL02,Phyllis Harvey-Hall ,dem,"$56,050",7.929468054,"$55,988",7.718692614,34.7,"105,286",N,N
AL03,Mike D Rogers ,gop,"$1,193,111",95.95675994,"$1,218,564",96.74713287,67.5,"217,384",Y,Y
AL03,Adia Winfrey ,dem,"$50,273",4.043240061,"$40,971",3.25286713,32.5,"104,595",N,N
AZ01,Tom O'Halleran ,dem,"$3,381,353",66.86518471,"$3,324,138",67.29239518,51.6,"188,469",Y,Y
AZ01,Tiffany Shedd ,gop,"$1,675,618",33.13481529,"$1,615,704",32.70760482,48.4,"176,709",N,N
AZ02,Ann Kirkpatrick ,dem,"$1,849,862",83.15171195,"$1,384,765",78.41997427,55.1,"209,945",Y,Y
AZ02,Brandon Martin ,gop,"$374,821",16.84828805,"$381,067",21.58002573,44.9,"170,975",N,N
AZ03,Raul M Grijalva ,dem,"$843,560",95.31945283,"$655,507",93.98367526,64.6,"174,243",Y,Y
AZ03,Daniel Wood ,gop,"$41,422",4.680547175,"$41,962",6.01632474,35.4,"95,594",N,N
AZ04,Paul Gosar ,gop,"$622,151",88.96526478,"$729,892",90.14907676,69.8,"278,002",Y,Y
AZ04,Delina DiSanto ,dem,"$77,168",11.03473522,"$79,758",9.850923238,30.2,"120,484",N,N
AZ05,Andy Biggs ,gop,"$1,602,181",81.81697945,"$1,236,380",85.49346584,58.9,"262,414",Y,Y
AZ05,Joan Greene ,dem,"$356,069",18.18302055,"$209,789",14.50653416,41.1,"183,171",N,N
