Seat,Candidate,Raised,In_Distr_Perc,In_Distr_Raised_000,Vote_Share,Winner,Incumbent,In_Distr_Prop_Versus_Opponent
AL01,Jerry Carl ,"$1,971,321",88.65,1747.58,64.4,Y,N,97.3
AL01,James Averhart ,"$80,095",60.48,48.44,35.6,N,N,2.7
AL02,Barry Moore ,"$650,807",42.78,278.42,65.3,Y,N,91.05
AL02,Phyllis Harvey-Hall ,"$56,050",48.84,27.37,34.7,N,N,8.95
AL03,Mike D Rogers ,"$1,193,111",29.89,356.62,67.5,Y,Y,95.14
AL03,Adia Winfrey ,"$50,273",36.26,18.23,32.5,N,N,4.86
AZ01,Tom O'Halleran ,"$3,381,353",15.03,508.22,51.6,Y,Y,66.89
AZ01,Tiffany Shedd ,"$1,675,618",15.01,251.51,48.4,N,N,33.11
AZ02,Ann Kirkpatrick ,"$1,849,862",21.43,396.43,55.1,Y,Y,65.37
AZ02,Brandon Martin ,"$374,821",56.03,210.01,44.9,N,N,34.63
AZ03,Raul M Grijalva ,"$843,560",8.31,70.1,64.6,Y,Y,76.36
AZ03,Daniel Wood ,"$41,422",52.38,21.7,35.4,N,N,23.64
AZ04,Paul Gosar ,"$622,151",28.43,176.88,69.8,Y,Y,81.23
AZ04,Delina DiSanto ,"$77,168",52.97,40.88,30.2,N,N,18.77
AZ05,Andy Biggs ,"$1,602,181",16.5,264.36,58.9,Y,Y,61.71
AZ05,Joan Greene ,"$356,069",46.06,164.01,41.1,N,N,38.29
AZ06,David Schweikert ,"$2,265,329",47.35,1072.63,52.2,Y,Y,51.07
AZ06,Hiral Tipirneni ,"$6,301,073",16.31,1027.71,47.8,N,N,48.93
AZ07,Ruben Gallego ,"$1,811,754",7.15,129.54,76.7,Y,Y,95.24
AZ07,Josh Barnett ,"$28,093",23.02,6.47,23.3,N,N,4.76
AZ08,Debbie Lesko ,"$1,605,245",16.03,257.32,59.6,Y,Y,63.66
AZ08,Michael Muscato ,"$357,906",41.05,146.92,40.4,N,N,36.34
AZ09,Greg Stanton ,"$2,001,619",22.2,444.36,61.6,Y,Y,91.15
AZ09,Dave Giles ,"$130,480",33.07,43.15,38.4,N,N,8.85
AR02,French Hill ,"$3,384,490",57.93,1960.64,55.4,Y,Y,53.26
AR02,Joyce Elliott ,"$3,482,463",49.4,1720.34,44.6,N,N,46.74
AR03,Steve Womack ,"$1,127,158",56.39,635.6,64.3,Y,Y,69.69
AR03,Celeste Williams ,"$355,294",77.82,276.49,31.8,N,N,30.31
AR04,Bruce Westerman ,"$1,407,770",44.04,619.98,69.7,Y,Y,88.51
AR04,William Hanson ,"$109,767",73.3,80.46,27.5,N,N,11.49
CA01,Doug LaMalfa ,"$1,219,556",44.08,537.58,57,Y,Y,23.12
CA01,Audrey Denney ,"$2,461,769",72.6,1787.24,43,N,N,76.88
CA02,Jared Huffman ,"$899,419",55.96,503.31,75.7,Y,Y,100
CA02,Dale Mensing ,"$5,921",0,0,24.3,N,N,0
CA03,John Garamendi ,"$1,054,066",20.19,212.82,54.7,Y,Y,47.43
CA03,Tamika Hamilton ,"$397,099",59.41,235.92,45.3,N,N,52.57
CA04,Tom McClintock ,"$2,053,363",27.39,562.42,55.9,Y,Y,33.1
CA04,Brynne Kennedy ,"$3,006,020",37.82,1136.88,44.1,N,N,66.9
CA06,Doris Matsui ,"$1,019,605",29.33,299.05,73.3,Y,Y,99.51
CA06,Christine Bish ,"$44,772",3.28,1.47,26.7,N,N,0.49
