Seat,winner_2018,winner_2020
AL01,R,R
AL02,R,R
AL03,R,R
AL04,R,R
AL05,R,R
AL06,R,R
AL07,D,D
AK01,R,R
AZ01,D,D
AZ02,D,D
AZ03,D,D
AZ04,R,R
AZ05,R,R
AZ06,R,R
AZ07,D,D
AZ08,R,R
AZ09,D,D
AR01,R,R
AR02,R,R
AR03,R,R
AR04,R,R
CA01,R,R
CA02,D,D
CA03,D,D
CA04,R,R
CA05,D,D
CA06,D,D
CA07,D,D
CA08,R,R
CA09,D,D
CA10,D,D
CA11,D,D
CA12,D,D
CA13,D,D
CA14,D,D
CA15,D,D
CA16,D,D
CA17,D,D
CA18,D,D
CA19,D,D
CA20,D,D
CA21,D,R
CA22,R,R
CA23,R,R
CA24,D,D
CA25,D,R
CA26,D,D
CA27,D,D
CA28,D,D
CA29,D,D
CA30,D,D
CA31,D,D
CA32,D,D
CA33,D,D
CA34,D,D
CA35,D,D
CA36,D,D
CA37,D,D
CA38,D,D
CA39,D,R
CA40,D,D
CA41,D,D
CA42,R,R
CA43,D,D
CA44,D,D
CA45,D,D
CA46,D,D
CA47,D,D
CA48,D,R
CA49,D,D
CA50,R,R
CA51,D,D
CA52,D,D
CA53,D,D
CO01,D,D
CO02,D,D
CO03,R,R
CO04,R,R
CO05,R,R
CO06,D,D
CO07,D,D
CT01,D,D
CT02,D,D
CT03,D,D
CT04,D,D
CT05,D,D
DE01,D,D
FL01,R,R
FL02,R,R
FL03,R,R
FL04,R,R
FL05,D,D
FL06,R,R
FL07,D,D
FL08,R,R
FL09,D,D
FL10,D,D
FL11,R,R
FL12,R,R
FL13,D,D
FL14,D,D
FL15,R,R
FL16,R,R
FL17,R,R
FL18,R,R
FL19,R,R
FL20,D,D
FL21,D,D
FL22,D,D
FL23,D,D
FL24,D,D
FL25,R,R
FL26,D,R
FL27,D,R
GA01,R,R
GA02,D,D
GA03,R,R
GA04,D,D
GA05,D,D
GA06,D,D
GA07,R,D
GA08,R,R
GA09,R,R
GA10,R,R
GA11,R,R
GA12,R,R
GA13,D,D
GA14,R,R
HI01,D,D
HI02,D,D
ID01,R,R
ID02,R,R
IL01,D,D
IL02,D,D
IL03,D,D
IL04,D,D
IL05,D,D
IL06,D,D
IL07,D,D
IL08,D,D
IL09,D,D
IL10,D,D
IL11,D,D
IL12,R,R
IL13,R,R
IL14,D,D
IL15,R,R
IL16,R,R
IL17,D,D
IL18,R,R
IN01,D,D
IN02,R,R
IN03,R,R
IN04,R,R
IN05,R,R
IN06,R,R
IN07,D,D
IN08,R,R
IN09,R,R
IA01,D,R
IA02,D,R
IA03,D,D
IA04,R,R
