Seat,Candidate,Party,Incumbent,Percent,Votes,Year
Alabama_district_1,Averhart,dem,N,35.6,"116,949",2020
Alabama_district_2,Harvey-Hall,dem,N,34.7,"105,286",2020
Alabama_district_3,Winfrey,dem,N,32.5,"104,595",2020
Alabama_district_4,Neighbors,dem,N,17.7,"56,237",2020
Alabama_district_5,Brooks,gop,Y,0,0,2020
Alabama_district_6,Palmer,gop,Y,0,0,2020
Alabama_district_7,Sewell,dem,Y,0,0,2020
Alaska_district_1,Galvin,dem,N,45.4,"159,856",2020
Arizona_district_1,Shedd,gop,N,48.4,"176,709",2020
Arizona_district_2,Martin,gop,N,44.9,"170,975",2020
Arizona_district_3,Wood,gop,N,35.4,"95,594",2020
Arizona_district_4,DiSanto,dem,N,30.2,"120,484",2020
Arizona_district_5,Greene,dem,N,41.1,"183,171",2020
Arizona_district_6,Tipirneni,dem,N,47.8,"199,644",2020
Arizona_district_7,Barnett,gop,N,23.3,"50,226",2020
Arizona_district_8,Muscato,dem,N,40.4,"170,816",2020
Arizona_district_9,Giles,gop,N,38.4,"135,180",2020
Arkansas_district_1,Crawford,gop,Y,0,0,2020
Arkansas_district_2,Elliott,dem,N,44.6,"148,410",2020
Arkansas_district_3,Williams,dem,N,31.8,"106,325",2020
Arkansas_district_4,Hanson,dem,N,27.5,"75,750",2020
California_district_1,Denney,dem,N,43,"154,073",2020
California_district_2,Mensing,gop,N,24.3,"94,320",2020
California_district_3,Hamilton,gop,N,45.3,"145,945",2020
California_district_4,Kennedy,dem,N,44.1,"194,731",2020
California_district_5,Giblin,gop,N,23.9,"85,227",2020
California_district_6,Bish,gop,N,26.7,"83,466",2020
California_district_7,Patterson,gop,N,43.4,"166,549",2020
California_district_8,Bubser,dem,N,43.9,"124,400",2020
California_district_9,Amador,gop,N,42.4,"128,358",2020
California_district_10,Howze,gop,N,44.8,"135,629",2020
California_district_11,Sharma,gop,N,27,"100,293",2020
California_district_12,Buttar,dem,N,22.4,"81,174",2020
California_district_13,Piterman,gop,N,9.6,"34,955",2020
California_district_14,Petel,gop,N,20.7,"72,705",2020
California_district_15,Hayden,gop,N,29.1,"99,710",2020
California_district_16,Cookingham,gop,N,40.6,"88,039",2020
California_district_17,Tandon,gop,N,28.7,"85,199",2020
